排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,最终平移_x_米,最终平移_y_米,最终平移_z_米,覆盖程度,loss
37,0.0,315.0,180.0,-31.295377495850424,9.889047576230897,-166.01086707101516,0.101906220957564,0.6251607574433241,-0.6792180980050959,0.00465,0.005719920054080682
38,180.0,225.0,0.0,-31.29537749585048,9.889047576230677,-166.01086707101516,0.10190622095756598,0.6251607574433247,-0.6792180980050997,0.00465,0.005719920054080689
39,315.0,0.0,270.0,-50.20598340476744,-40.42675770834317,-146.9494078899409,-0.7355495861711205,0.5123300754132888,-0.37437433143870175,0.0042,0.005611575233647626
40,135.0,180.0,90.0,-50.205983404767494,-40.426757708343196,-146.9494078899409,-0.7355495861711212,0.5123300754132898,-0.374374331438703,0.0042,0.005611575233647681
41,0.0,0.0,45.0,0.0,-0.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
42,0.0,0.0,90.0,0.0,-0.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
43,0.0,0.0,135.0,0.0,-0.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
44,0.0,0.0,180.0,0.0,-0.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
45,0.0,0.0,225.0,0.0,-0.0,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
46,0.0,0.0,270.0,0.0,-0.0,-90.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
47,0.0,0.0,315.0,0.0,-0.0,-45.000000000000014,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
48,0.0,45.0,45.0,-4.349702147752948e-15,45.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
49,0.0,45.0,90.0,0.0,45.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
50,0.0,45.0,135.0,-9.144248551431883e-15,45.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
51,0.0,45.0,180.0,-2.9064161546825516e-15,45.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
52,0.0,45.0,225.0,4.6462649850369406e-15,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
53,0.0,45.0,270.0,-8.995967132789888e-15,45.0,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
54,0.0,45.0,315.0,1.0766801899421297e-14,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
55,0.0,90.0,0.0,0.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
56,0.0,90.0,45.0,-45.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
57,0.0,90.0,90.0,-90.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
58,0.0,90.0,135.0,-135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
59,0.0,90.0,180.0,-180.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
